timestamp,par,preco
2025-04-10 02:31:48,XRP/USDT,2.008
2025-04-10 02:31:48,DOGE/USDT,0.15709
2025-04-10 02:31:49,TRX/USDT,0.24144
2025-04-10 02:31:54,XRP/USDT,2.0079
2025-04-10 02:31:54,DOGE/USDT,0.15709
2025-04-10 02:31:55,TRX/USDT,0.24144
2025-04-10 02:32:00,XRP/USDT,2.008
2025-04-10 02:32:01,DOGE/USDT,0.15709
2025-04-10 02:32:01,TRX/USDT,0.24144
2025-04-10 02:32:07,XRP/USDT,2.0082
2025-04-10 02:32:07,DOGE/USDT,0.1571
2025-04-10 02:32:07,TRX/USDT,0.24144
2025-04-10 02:32:13,XRP/USDT,2.0086
2025-04-10 02:32:13,DOGE/USDT,0.15714
2025-04-10 02:32:13,TRX/USDT,0.24144
2025-04-10 02:32:18,XRP/USDT,2.0105
2025-04-10 02:32:19,DOGE/USDT,0.15713
2025-04-10 02:32:19,TRX/USDT,0.24144
2025-04-10 02:32:24,XRP/USDT,2.0106
2025-04-10 02:32:24,DOGE/USDT,0.15725
2025-04-10 02:32:25,TRX/USDT,0.24144
2025-04-10 02:32:31,XRP/USDT,2.0108
2025-04-10 02:32:31,DOGE/USDT,0.15724
2025-04-10 02:32:32,TRX/USDT,0.24144
2025-04-10 02:32:37,XRP/USDT,2.0104
2025-04-10 02:32:37,DOGE/USDT,0.15724
2025-04-10 02:32:37,TRX/USDT,0.24144
2025-04-10 02:32:43,XRP/USDT,2.0104
2025-04-10 02:32:43,DOGE/USDT,0.15725
2025-04-10 02:32:43,TRX/USDT,0.24144
2025-04-10 02:32:49,XRP/USDT,2.0103
2025-04-10 02:32:49,DOGE/USDT,0.15723
2025-04-10 02:32:50,TRX/USDT,0.24144
2025-04-10 02:32:55,XRP/USDT,2.0109
2025-04-10 02:32:55,DOGE/USDT,0.15723
2025-04-10 02:32:56,TRX/USDT,0.24144
2025-04-10 02:33:01,XRP/USDT,2.0095
2025-04-10 02:33:02,DOGE/USDT,0.15712
2025-04-10 02:33:02,TRX/USDT,0.24144
2025-04-10 02:33:07,XRP/USDT,2.0095
2025-04-10 02:33:07,DOGE/USDT,0.15712
2025-04-10 02:33:08,TRX/USDT,0.24144
2025-04-10 02:33:13,XRP/USDT,2.0095
2025-04-10 02:33:13,DOGE/USDT,0.15709
2025-04-10 02:33:14,TRX/USDT,0.2414
2025-04-10 02:33:19,XRP/USDT,2.0096
2025-04-10 02:33:19,DOGE/USDT,0.15709
2025-04-10 02:33:20,TRX/USDT,0.2414
2025-04-10 02:33:25,XRP/USDT,2.0088
2025-04-10 02:33:25,DOGE/USDT,0.15705
2025-04-10 02:33:25,TRX/USDT,0.24138
2025-04-10 02:33:31,XRP/USDT,2.0083
2025-04-10 02:33:31,DOGE/USDT,0.15703
2025-04-10 02:33:31,TRX/USDT,0.24137
2025-04-10 02:33:37,XRP/USDT,2.0082
2025-04-10 02:33:37,DOGE/USDT,0.15697
2025-04-10 02:33:37,TRX/USDT,0.24137
2025-04-10 02:33:43,XRP/USDT,2.0074
2025-04-10 02:33:43,DOGE/USDT,0.15697
2025-04-10 02:33:43,TRX/USDT,0.24135
2025-04-10 02:33:49,XRP/USDT,2.0067
2025-04-10 02:33:49,DOGE/USDT,0.15693
2025-04-10 02:33:49,TRX/USDT,0.24135
2025-04-10 02:33:54,XRP/USDT,2.0067
2025-04-10 02:33:55,DOGE/USDT,0.15694
2025-04-10 02:33:55,TRX/USDT,0.24136
2025-04-10 02:34:00,XRP/USDT,2.0065
2025-04-10 02:34:01,DOGE/USDT,0.15693
2025-04-10 02:34:01,TRX/USDT,0.24144
2025-04-10 02:34:07,XRP/USDT,2.0058
2025-04-10 02:34:07,DOGE/USDT,0.15694
2025-04-10 02:34:07,TRX/USDT,0.24141
2025-04-10 02:34:13,XRP/USDT,2.0057
2025-04-10 02:34:13,DOGE/USDT,0.15688
2025-04-10 02:34:13,TRX/USDT,0.24141
2025-04-10 02:34:19,XRP/USDT,2.0057
2025-04-10 02:34:20,DOGE/USDT,0.15688
2025-04-10 02:34:20,TRX/USDT,0.24141
2025-04-10 02:34:26,XRP/USDT,2.0059
2025-04-10 02:34:26,DOGE/USDT,0.15689
2025-04-10 02:34:26,TRX/USDT,0.24141
2025-04-10 02:34:32,XRP/USDT,2.0058
2025-04-10 02:34:33,DOGE/USDT,0.15689
2025-04-10 02:34:34,TRX/USDT,0.24141
2025-04-10 02:34:39,XRP/USDT,2.0052
2025-04-10 02:34:39,DOGE/USDT,0.15686
2025-04-10 02:34:39,TRX/USDT,0.24141
2025-04-10 02:34:45,XRP/USDT,2.0054
2025-04-10 02:34:46,DOGE/USDT,0.15686
2025-04-10 02:34:47,TRX/USDT,0.24141
2025-04-10 02:34:52,XRP/USDT,2.0055
2025-04-10 02:34:52,DOGE/USDT,0.15679
2025-04-10 02:34:53,TRX/USDT,0.24134
2025-04-10 02:34:58,XRP/USDT,2.0055
2025-04-10 02:34:58,DOGE/USDT,0.1568
2025-04-10 02:34:58,TRX/USDT,0.24134
2025-04-10 02:35:04,XRP/USDT,2.0056
2025-04-10 02:35:04,DOGE/USDT,0.1568
2025-04-10 02:35:04,TRX/USDT,0.2413
2025-04-10 02:35:10,XRP/USDT,2.0048
2025-04-10 02:35:10,DOGE/USDT,0.1568
2025-04-10 02:35:11,TRX/USDT,0.24135
2025-04-10 02:35:16,XRP/USDT,2.0055
2025-04-10 02:35:17,DOGE/USDT,0.15681
2025-04-10 02:35:17,TRX/USDT,0.24135
2025-04-10 02:35:22,XRP/USDT,2.0054
2025-04-10 02:35:23,DOGE/USDT,0.15681
2025-04-10 02:35:23,TRX/USDT,0.24135
2025-04-10 02:35:29,XRP/USDT,2.0057
2025-04-10 02:35:30,DOGE/USDT,0.15687
2025-04-10 02:35:30,TRX/USDT,0.24136
2025-04-10 02:35:36,XRP/USDT,2.0058
2025-04-10 02:35:36,DOGE/USDT,0.15688
2025-04-10 02:35:36,TRX/USDT,0.24136
2025-04-10 02:35:42,XRP/USDT,2.0058
2025-04-10 02:35:42,DOGE/USDT,0.15688
2025-04-10 02:35:42,TRX/USDT,0.24136
2025-04-10 02:35:48,XRP/USDT,2.0058
2025-04-10 02:35:48,DOGE/USDT,0.15689
2025-04-10 02:35:49,TRX/USDT,0.24136
2025-04-10 02:35:54,XRP/USDT,2.0062
2025-04-10 02:35:54,DOGE/USDT,0.15689
2025-04-10 02:35:55,TRX/USDT,0.24137
2025-04-10 02:36:00,XRP/USDT,2.0062
2025-04-10 02:36:01,DOGE/USDT,0.15689
2025-04-10 02:36:01,TRX/USDT,0.24137
2025-04-10 02:36:07,XRP/USDT,2.0057
2025-04-10 02:36:07,DOGE/USDT,0.15686
2025-04-10 02:36:08,TRX/USDT,0.24137
2025-04-10 02:36:13,XRP/USDT,2.0057
2025-04-10 02:36:13,DOGE/USDT,0.15679
2025-04-10 02:36:14,TRX/USDT,0.24139
2025-04-10 02:36:19,XRP/USDT,2.0054
2025-04-10 02:36:19,DOGE/USDT,0.15679
2025-04-10 02:36:20,TRX/USDT,0.24136
2025-04-10 02:36:25,XRP/USDT,2.0053
2025-04-10 02:36:26,DOGE/USDT,0.15675
2025-04-10 02:36:27,TRX/USDT,0.24135
2025-04-10 02:36:32,XRP/USDT,2.0048
2025-04-10 02:36:32,DOGE/USDT,0.15676
2025-04-10 02:36:32,TRX/USDT,0.24135
