timestamp,par,direcao,preco_entrada,score_tecnico,score_ia
2025-04-09 08:05:49,XRP/USDT,buy,,,
2025-04-09 08:05:49,DOGE/USDT,buy,,,
2025-04-09 08:05:50,TRX/USDT,buy,,,
2025-04-09 08:06:51,XRP/USDT,buy,,,
2025-04-09 08:06:52,DOGE/USDT,buy,,,
2025-04-09 08:06:53,TRX/USDT,buy,,,
2025-04-09 08:07:54,XRP/USDT,buy,,,
2025-04-09 08:07:54,DOGE/USDT,buy,,,
2025-04-09 08:07:55,TRX/USDT,buy,,,
2025-04-09 08:08:56,XRP/USDT,buy,,,
2025-04-09 08:08:57,TRX/USDT,buy,,,
2025-04-09 08:09:58,XRP/USDT,buy,,,
2025-04-09 08:09:59,DOGE/USDT,buy,,,
2025-04-09 08:10:00,TRX/USDT,buy,,,
2025-04-09 08:11:01,XRP/USDT,buy,,,
2025-04-09 08:11:02,DOGE/USDT,buy,,,
2025-04-09 08:11:03,TRX/USDT,buy,,,
2025-04-09 08:12:04,XRP/USDT,buy,,,
2025-04-09 08:12:05,TRX/USDT,buy,,,
2025-04-09 08:13:06,XRP/USDT,buy,,,
2025-04-09 08:13:07,TRX/USDT,buy,,,
2025-04-09 08:14:08,TRX/USDT,buy,,,
2025-04-09 08:15:09,DOGE/USDT,sell,,,
2025-04-09 08:16:11,XRP/USDT,sell,,,
2025-04-09 08:19:15,TRX/USDT,sell,,,
2025-04-09 08:22:31,TRX/USDT,sell,,,
2025-04-09 08:23:32,XRP/USDT,buy,,,
2025-04-09 08:23:32,DOGE/USDT,buy,,,
2025-04-09 08:31:56,XRP/USDT,buy,,,
2025-04-09 08:32:58,XRP/USDT,buy,,,
2025-04-09 08:32:59,DOGE/USDT,buy,,,
2025-04-09 08:33:00,TRX/USDT,buy,,,
2025-04-09 08:34:01,XRP/USDT,buy,,,
2025-04-09 08:34:02,TRX/USDT,buy,,,
2025-04-09 08:34:50,XRP/USDT,buy,,,
2025-04-09 08:34:51,DOGE/USDT,buy,,,
2025-04-09 08:34:51,TRX/USDT,buy,,,
2025-04-09 08:35:52,XRP/USDT,buy,,,
2025-04-09 08:35:53,DOGE/USDT,buy,,,
2025-04-09 08:35:54,TRX/USDT,buy,,,
2025-04-09 08:36:55,DOGE/USDT,buy,,,
2025-04-09 08:36:56,TRX/USDT,buy,,,
2025-04-09 08:37:57,TRX/USDT,buy,,,
2025-04-09 08:38:58,XRP/USDT,buy,,,
2025-04-09 08:38:59,DOGE/USDT,buy,,,
2025-04-09 08:39:00,TRX/USDT,buy,,,
2025-04-09 08:40:01,XRP/USDT,buy,,,
2025-04-09 08:40:02,DOGE/USDT,buy,,,
2025-04-09 08:40:03,TRX/USDT,buy,,,
2025-04-09 08:41:04,XRP/USDT,buy,,,
2025-04-09 08:41:04,DOGE/USDT,buy,,,
2025-04-09 08:41:05,TRX/USDT,buy,,,
